video_id,university_name,category,topic,search_query,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url,relevance_score,relevance_label,clean_title,clean_description,combined_text,title_word_count,title_char_count,description_word_count,description_char_count,combined_word_count,combined_char_count,emoji_count,hashtag_count,mention_count,exclamation_count,question_count,engagement_rate,log_views,log_likes,log_comments,video_age_days
xxS2hfpYrVA,Lovely Professional University,faculty_research,faculty,Lovely Professional University faculty,LPU Campus Tour in 25 Seconds | Lovely Professional University | Family Connection #shorts,"LPU Campus Tour in 25 Seconds | Lovely Professional University | Family Connection #shorts Guys, in this short video you will ...",Family Connection,2023-04-12T12:22:05Z,2023,205436,6827,63,PT27S,unknown,https://www.youtube.com/watch?v=xxS2hfpYrVA,28,Relevant,LPU Campus Tour in 25 Seconds | Lovely Professional University | Family Connection #shorts,"LPU Campus Tour in 25 Seconds | Lovely Professional University | Family Connection #shorts Guys, in this short video you will .","LPU Campus Tour in 25 Seconds | Lovely Professional University | Family Connection #shorts LPU Campus Tour in 25 Seconds | Lovely Professional University | Family Connection #shorts Guys, in this short video you will .",14,90,22,127,36,218,0,2,0,0,0,0.033538,12.232894696573373,8.828787083914332,4.1588830833596715,1177
dHwwpcEr8gQ,Lucknow University,faculty_research,plagiarism,Lucknow University plagiarism,RESEARCH ETHICS | Plagiarism | Part 3 | The Series,"RESEARCH ETHICS | Plagiarism | Part 3 Welcome to our YouTube series ""Research Ethics"" hosted by Charu Yadav, a Senior ...",Applied Economics Insights,2024-06-30T17:12:05Z,2024,72,5,0,PT4M2S,unknown,https://www.youtube.com/watch?v=dHwwpcEr8gQ,27,Relevant,RESEARCH ETHICS | Plagiarism | Part 3 | The Series,"RESEARCH ETHICS | Plagiarism | Part 3 Welcome to our YouTube series ""Research Ethics"" hosted by Charu Yadav, a Senior .","RESEARCH ETHICS | Plagiarism | Part 3 | The Series RESEARCH ETHICS | Plagiarism | Part 3 Welcome to our YouTube series ""Research Ethics"" hosted by Charu Yadav, a Senior .",10,50,21,119,31,170,0,0,0,0,0,0.069444,4.290459441148391,1.791759469228055,0.0,732
ynJQHSfYYJ0,Ashoka University,faculty_research,faculty,Ashoka University faculty,Ashoka University: Another Professor Resigns after Sabyasachi’s Exit| Faculty warn of Exodus |News9,Another Professor from the economics department has resigned from Ashoka University. The resignations came after Professor ...,NEWS9 Live,2023-08-17T06:11:55Z,2023,1873,17,4,PT5M45S,unknown,https://www.youtube.com/watch?v=ynJQHSfYYJ0,27,Relevant,Ashoka University: Another Professor Resigns after Sabyasachi’s Exit| Faculty warn of Exodus |News9,Another Professor from the economics department has resigned from Ashoka University. The resignations came after Professor .,Ashoka University: Another Professor Resigns after Sabyasachi’s Exit| Faculty warn of Exodus |News9 Another Professor from the economics department has resigned from Ashoka University. The resignations came after Professor .,13,99,17,124,30,224,0,0,0,0,0,0.011212,7.535830462798367,2.8903717578961645,1.6094379124341003,1050
Ghl6tNPQSLs,SRM Institute of Science and Technology,faculty_research,faculty,SRM Institute of Science and Technology faculty,SRM IST - Trichy - About the Faculty of Physiotherapy,SRM IST - Trichy - About Our Faculty SRM Institute of Science and Technology is one of the top ranking universities in India with ...,"SRM Institute of Science and Technology, Trichy",2023-05-19T08:04:20Z,2023,2464,50,2,PT22S,unknown,https://www.youtube.com/watch?v=Ghl6tNPQSLs,27,Relevant,SRM IST - Trichy - About the Faculty of Physiotherapy,SRM IST - Trichy - About Our Faculty SRM Institute of Science and Technology is one of the top ranking universities in India with .,SRM IST - Trichy - About the Faculty of Physiotherapy SRM IST - Trichy - About Our Faculty SRM Institute of Science and Technology is one of the top ranking universities in India with .,10,53,25,131,35,185,0,0,0,0,0,0.021104,7.80994708647679,3.9318256327243257,1.0986122886681098,1140
iSKS2Po0fKA,Delhi University,faculty_research,plagiarism,Delhi University plagiarism,How to remove AI plagiarism from research paper? | ezephd,How to remove AI plagiarism from research paper? | ezephd . How to remove AI plagiarism?✓ . Replace absolutes with hedging: ...,ezephd,2025-08-31T11:35:45Z,2025,77757,517,12,PT9S,unknown,https://www.youtube.com/watch?v=iSKS2Po0fKA,27,Relevant,How to remove AI plagiarism from research paper? | ezephd,How to remove AI plagiarism from research paper? | ezephd . How to remove AI plagiarism?✓ . Replace absolutes with hedging: .,How to remove AI plagiarism from research paper? | ezephd How to remove AI plagiarism from research paper? | ezephd . How to remove AI plagiarism?✓ . Replace absolutes with hedging: .,10,57,22,125,32,183,1,0,0,0,3,0.006803,11.261356718638943,6.249975242259483,2.5649493574615367,305
8uWJbVgZccA,Ashoka University,faculty_research,faculty,Ashoka University faculty,Meet the World-Class Faculty at Ashoka University,"Ashoka University's faculty are scholars, mentors, and innovators who shape your learning with depth, vision and wisdom.",Ashoka University,2025-09-09T10:25:36Z,2025,2864,39,0,PT4M1S,unknown,https://www.youtube.com/watch?v=8uWJbVgZccA,26,Relevant,Meet the World-Class Faculty at Ashoka University,"Ashoka University's faculty are scholars, mentors, and innovators who shape your learning with depth, vision and wisdom.","Meet the World-Class Faculty at Ashoka University Ashoka University's faculty are scholars, mentors, and innovators who shape your learning with depth, vision and wisdom.",7,49,17,120,24,170,0,0,0,0,0,0.013617,7.9603236291488395,3.6888794541139363,0.0,296
kB25SJPRDME,BITS Pilani,faculty_research,faculty,BITS Pilani faculty,BITS Pilani Faculty Hiring 2025 | Apply Online | PhD &amp; Experienced Professionals,BITS Pilani Faculty Recruitment 2025 Advance your research & teaching career with BITS Pilani – An Institution of Eminence.,CINI CUTIE FAM,2025-09-15T06:47:06Z,2025,332,2,0,PT16S,unknown,https://www.youtube.com/watch?v=kB25SJPRDME,26,Relevant,BITS Pilani Faculty Hiring 2025 | Apply Online | PhD & Experienced Professionals,BITS Pilani Faculty Recruitment 2025 Advance your research & teaching career with BITS Pilani – An Institution of Eminence.,BITS Pilani Faculty Hiring 2025 | Apply Online | PhD & Experienced Professionals BITS Pilani Faculty Recruitment 2025 Advance your research & teaching career with BITS Pilani – An Institution of Eminence.,13,80,19,123,32,204,0,0,0,0,0,0.006024,5.808142489980444,1.0986122886681098,0.0,290
n-23R0BaAnc,Sharda University,faculty_research,faculty,Sharda University faculty,"Sharda University Agra B.Tech Admissions 2026 | Campus Tour, Courses, Scholarships &amp; Placements","Explore Sharda University Agra – a top destination for B.Tech admissions 2026 with world-class infrastructure, future-ready ...",Sharda University Agra (SUA),2026-02-26T08:39:27Z,2026,122,3,0,PT3M26S,unknown,https://www.youtube.com/watch?v=n-23R0BaAnc,26,Relevant,"Sharda University Agra B.Tech Admissions 2026 | Campus Tour, Courses, Scholarships & Placements","Explore Sharda University Agra – a top destination for B.Tech admissions 2026 with world-class infrastructure, future-ready .","Sharda University Agra B.Tech Admissions 2026 | Campus Tour, Courses, Scholarships & Placements Explore Sharda University Agra – a top destination for B.Tech admissions 2026 with world-class infrastructure, future-ready .",13,95,17,125,30,221,0,0,0,0,0,0.02459,4.812184355372417,1.3862943611198906,0.0,126
BtYozEIcW1o,Ashoka University,faculty_research,faculty,Ashoka University faculty,"Convocation 2025 Address by Professor Somak Raychaudhury | Vice-Chancellor, Ashoka University","Professor Somak Raychaudhury, Vice-Chancellor of Ashoka University and Professor of Physics congratulates the graduating ...",Ashoka University,2025-06-17T10:30:07Z,2025,25817,125,0,PT12M18S,unknown,https://www.youtube.com/watch?v=BtYozEIcW1o,26,Relevant,"Convocation 2025 Address by Professor Somak Raychaudhury | Vice-Chancellor, Ashoka University","Professor Somak Raychaudhury, Vice-Chancellor of Ashoka University and Professor of Physics congratulates the graduating .","Convocation 2025 Address by Professor Somak Raychaudhury | Vice-Chancellor, Ashoka University Professor Somak Raychaudhury, Vice-Chancellor of Ashoka University and Professor of Physics congratulates the graduating .",11,93,15,122,26,216,0,0,0,0,0,0.004842,10.158827202066655,4.836281906951478,0.0,380
pbrVcEit9jg,Chandigarh University,faculty_research,faculty,Chandigarh University faculty,Chandigarh University Campus Tour,Chandigarh University Campus Tour. Watch the Video.,Chandigarh University - CU,2023-12-29T03:51:16Z,2023,912173,8320,61,PT14S,unknown,https://www.youtube.com/watch?v=pbrVcEit9jg,26,Relevant,Chandigarh University Campus Tour,Chandigarh University Campus Tour. Watch the Video.,Chandigarh University Campus Tour Chandigarh University Campus Tour. Watch the Video.,4,33,7,51,11,85,0,0,0,0,0,0.009188,13.723586040332156,9.02653771890043,4.127134385045092,916
