university_name
Delhi University
Jawaharlal Nehru University
Jamia Millia Islamia
Aligarh Muslim University
Banaras Hindu University
BML Munjal University
University of Hyderabad
University of Allahabad
Pondicherry University
North Eastern Hill University
Central University of Karnataka
Guru Ghasidas Vishwavidyalaya
Assam University
Tezpur University
Mizoram University
Manipur University
Tripura University
Sikkim University
Central University of South Bihar
VIT Vellore
VIT Bhopal University
SRM Institute of Science and Technology

Jadavpur University
Anna University
Savitribai Phule Pune University
University of Calcutta
University of Mumbai
University of Madras
Osmania University
Andhra University
University of Rajasthan
Gujarat University
Ranchi University
Patna University
Lucknow University
Barkatullah University Bhopal
Devi Ahilya Vishwavidyalaya Indore
Jiwaji University Gwalior
Maharaja Chhatrasal Bundelkhand University
Pandit Ravishankar Shukla University
Hemchand Yadav Vishwavidyalaya Durg
Mohanlal Sukhadia University Udaipur
Mysore University
Kerala University
Dibrugarh University

Rajiv Gandhi Proudyogiki Vishwavidyalaya
Dr APJ Abdul Kalam Technical University
Rajasthan Technical University
Dr Babasaheb Ambedkar Technological University
Madan Mohan Malaviya University of Technology
Harcourt Butler Technical University
Veermata Jijabai Technological Institute
College of Engineering Pune
Madhav Institute of Technology and Science Gwalior
Bhilai Institute of Technology Durg
Shri Shankaracharya Technical Campus Bhilai
Veer Surendra Sai University of Technology
Birla Institute of Technology Mesra
Netaji Subhas University of Technology
Delhi Technological University
Guru Gobind Singh Indraprastha University
Institute of Chemical Technology Mumbai
Maulana Azad National Institute of Technology Bhopal
Visvesvaraya National Institute of Technology Nagpur
Indian Institute of Information Technology Design and Manufacturing Jabalpur
Indian Institute of Information Technology Design and Manufacturing Kancheepuram
Indian Institute of Information Technology Design and Manufacturing Jabalpur
Indian Institute of Management Raipur
Indian Institute of Management
Jawaharlal Institue of Technology Borawan

Jamia Hamdard
Aligarh Muslim University Malappuram Centre
Mahatma Gandhi Central University
Central University of Haryana
Central University of Punjab
Central University of Rajasthan
Central University of Gujarat
Central University of Tamil Nadu
Central University of Kerala
Central University of Andhra Pradesh
Central University of Jharkhand
Central University of Odisha
Central University of Kashmir

VIT Vellore
VIT Bhopal University
SRM Institute of Science and Technology
Amity University
Lovely Professional University
Galgotias University
Chandigarh University
Manipal Academy of Higher Education
Sharda University
Bennett University
KIIT University
BITS Pilani
Thapar Institute of Engineering and Technology
SASTRA Deemed University
PES University
RV University
Christ University
Symbiosis International University
Ashoka University
O.P. Jindal Global University
Dhirubhai Ambani Institute of Information and Communication Technology
Nirma University
Pandit Deendayal Energy University
JECRC University
Poornima University
Manipal University Jaipur
Banasthali Vidyapith
SAGE University Bhopal
SAGE University Indore
LNCT Bhopal
Oriental Institute of Science and Technology Bhopal
Mansarovar Global University Bhopal
Rabindranath Tagore University Bhopal
People's University Bhopal
Kalinga University Raipur
ITM University Raipur
Ganpat University
Charotar University of Science and Technology

Panjab University
Kurukshetra University
Guru Nanak Dev University
Punjabi University Patiala
Maharshi Dayanand University Rohtak
Himachal Pradesh University
University of Jammu
University of Kashmir

Karnataka State Open University
Bangalore University
Visvesvaraya Technological University
Karnataka University Dharwad
Mangalore University
Kuvempu University

Calicut University
Cochin University of Science and Technology
Mahatma Gandhi University Kerala
Kannur University

Berhampur University
Fakir Mohan University
North Odisha University
